"","index"
"LEND",0.0326
"PLBT",0.0258
"BCPT",0.0327
"SALT",0.0247
"VIB",0.0347
"ICOS",0.0166
"CFI",0.0268
"KICK",0.0227
"BNT",0.0207
"BNB",0.0235
"COB",0.0213
"B2B",0.0146
"FUN",0.0254
"WILD",0.0335
"NXC",0.0285
"RLC",0.0167
"RHOC",0.028
"EVX",0.0313
"PAY",0.0253
"EDO",0.0307
"CTR",0.0277
"HMQ",0.0254
"DENT",0.0314
"TIME",0.0218
"SPF",0.0185
"ARC",0.0164
"SNOV",0.022
"STORJ",0.027
"ADX",0.0265
"DCN",0.0349
"TAAS",0.0158
"QAU",0.0134
"NIO",0.0244
"STEEM",0.0299
"LUN",0.0357
"WABI",0.0281
