"","V1"
"LEND",0
"PLBT",0
"BCPT",0
"SALT",0
"VIB",0
"ICOS",0.0384
"CFI",0
"KICK",0.1839
"BNT",0.2
"BNB",0.0747
"COB",0
"B2B",0.0604
"FUN",0
"WILD",0.0143
"NXC",0
"RLC",0
"RHOC",0
"EVX",0
"PAY",0
"EDO",0
"CTR",0
"HMQ",0
"DENT",0
"TIME",0.0044
"SPF",0.012
"ARC",0.0119
"SNOV",0
"STORJ",0
"ADX",0
"DCN",0
"TAAS",0.2
"QAU",0.2
"NIO",0
"STEEM",0
"LUN",0
"WABI",0
